contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes
39,3,29,11,1,62,10,1,0.577350269,1,2,284,10.3552146,13.18609043
43,4,30,2,15,74,0,9,-3.064338984,15,24,285,0.91135147,8.02229107
44,4,30,4,13,12,0,6,-0.107520666,9,15,286,6.533107575,27.85232713
45,4,30,9,6,81,0,4,0.430082664,5,9,287,11.76298906,30.92754721
46,4,30,4,12,77,0,6,-0.107520666,9,15,288,7.241067037,30.87054141
47,4,30,7,9,82,0,6,-0.107520666,9,15,289,6.755006778,28.79834082
48,4,30,9,5,102,0,2,0.967685995,2,4,290,39.71464679,64.39684598
49,4,30,10,1,41,0,8,-0.913925662,14,22,291,5.322156109,36.79113448
50,4,30,10,3,22,0,6,-0.107520666,9,15,292,25.14119586,107.1834198
51,4,30,5,11,80,0,3,0.69888433,4,7,293,12.90889251,26.65384227
52,4,30,8,7,52,0,7,-0.645123997,13,20,294,4.523991541,24.5595502
53,4,30,8,8,87,0,5,0.161280999,7,12,295,8.355460936,27.97403699
54,4,30,10,2,53,0,1,1.23648766,1,2,296,66.12694217,84.20451659
55,4,30,3,14,21,0,5,0.161280999,7,12,297,6.10338379,20.43409516
56,4,30,6,10,68,0,4,0.430082664,5,9,298,10.28416333,27.03938133
57,4,30,10,4,5,0,2,0.967685995,2,4,299,43.99402148,71.33580315
43,4,30,2,15,74,1,11,-2.659289981,15,26,300,0.332029397,4.739177194
44,4,30,4,13,12,1,9,-0.664822495,13,22,301,1.730074661,15.22920955
45,4,30,9,6,81,1,5,0.332411248,5,10,302,6.842855789,22.90984332
46,4,30,4,12,77,1,10,-0.914130931,14,24,303,1.459795513,16.36294565
47,4,30,7,9,82,1,6,0.083102812,8,14,304,5.537827064,23.60918892
48,4,30,9,5,102,1,4,0.581719683,4,8,305,15.96030163,41.96322718
49,4,30,10,1,41,1,7,-0.166205624,9,16,306,7.46007396,40.49876293
50,4,30,10,3,22,1,8,-0.41551406,10,18,307,10.02840087,69.32458154
51,4,30,5,11,80,1,3,1.080336555,3,6,308,10.20632101,21.07366455
52,4,30,8,7,52,1,5,0.332411248,5,10,309,10.58383459,35.43461964
53,4,30,8,8,87,1,5,0.332411248,5,10,310,7.41321307,24.81939635
54,4,30,10,2,53,1,2,1.329644991,2,4,311,32.44958612,52.61663312
