season,week,celebrity_name,vote_mean,vote_lower_95,vote_upper_95,vote_sd
2,1,Lisa Rinna,0.09663216008003646,0.07940040837273185,0.11600647546245407,0.010164420667328145
2,1,Tatum O'Neal,0.09587667136520779,0.0727507984825596,0.12327221005243942,0.01345502932310142
2,1,George Hamilton,0.09571583099659255,0.07534463968820317,0.11885371610227478,0.01144612262868014
2,1,Stacy Keibler,0.09487678223769339,0.08242012378653218,0.10854657078146154,0.007450518143802037
2,1,Giselle Fernandez,0.09286287910689657,0.07339876622934255,0.11726814862930018,0.012609998012535557
2,2,Giselle Fernandez,0.11792699559050618,0.0972891680909059,0.1618323499425749,0.01401431292663349
2,2,Lisa Rinna,0.11633386702112194,0.09019432683742376,0.1370152310805488,0.012585757598024714
2,2,Master P,0.1141236003186214,0.08489580763715178,0.15305233236516239,0.017182443308435744
2,2,George Hamilton,0.110330170920903,0.08124489358779494,0.13482017368428068,0.013895470824038213
2,2,Tatum O'Neal,0.11011850963946583,0.07559440499987446,0.13661777325214122,0.01566985401346981
2,2,Stacy Keibler,0.10974477991968974,0.08966593179661757,0.13391721349291497,0.011608160940236104
2,2,Tia Carrere,0.10760695630632268,0.08672900538350135,0.1260656722334503,0.008746805990822455
2,2,Drew Lachey,0.10724105859829892,0.08395993752006777,0.13477702871905203,0.0125257137690398
2,2,Jerry Rice,0.1065740616850703,0.08652998713403234,0.12769094029269806,0.011666928379841485
2,3,Giselle Fernandez,0.12926718622708042,0.10384160122911561,0.16493892413774974,0.016029100886266818
2,3,Master P,0.12690723408066823,0.09959630599739522,0.16226811846309924,0.016845786505923544
2,3,Tia Carrere,0.12656546502827445,0.10603652472020322,0.1484233851351056,0.01405534053801141
2,3,Jerry Rice,0.12649186110052066,0.10119648645710963,0.1523049886732377,0.013285933058615982
2,3,Lisa Rinna,0.12438460386863917,0.09781766018737972,0.1605824981391228,0.017654401635979658
2,3,Drew Lachey,0.12295213895038273,0.09317366768947956,0.1628585609561339,0.018327298525429043
2,3,George Hamilton,0.1229241225845088,0.09232184128086496,0.1455990025005756,0.015274515033392458
2,3,Stacy Keibler,0.12050738815992552,0.09218070757457389,0.1428208377970534,0.013765097238616665
2,4,Master P,0.15775884790472758,0.11955001150826113,0.20195597827704162,0.02148159604832108
2,4,Tia Carrere,0.14593752185075354,0.1079969609727231,0.1726564045388407,0.01674179802513991
2,4,George Hamilton,0.14077674512372565,0.11604477748986243,0.1696676777074283,0.014230225071939403
2,4,Drew Lachey,0.1404034256403701,0.10699581622817853,0.17539963859217722,0.018531213994628055
2,4,Jerry Rice,0.14018266378978528,0.11466022388898275,0.17694867705471207,0.01833620307895709
2,4,Lisa Rinna,0.13859381307085997,0.1050195936830815,0.18354813707401582,0.022768797190032122
2,4,Stacy Keibler,0.13634698261977787,0.11606599960605678,0.16692053973930848,0.014376547343372896
2,5,Jerry Rice,0.18016875586303377,0.13236201136254672,0.2177081894885326,0.02222673847739031
2,5,Lisa Rinna,0.17266579420246972,0.13683655857512575,0.21208411731020846,0.01890155300628807
2,5,George Hamilton,0.16960974200100298,0.13675217454101074,0.2242706588490676,0.023050592503069636
2,5,Tia Carrere,0.16617762716759318,0.12481689652288948,0.20623320704332368,0.022726875209759557
2,5,Stacy Keibler,0.16018083292139834,0.11746611670247849,0.20015150884569557,0.020481243437832142
2,5,Drew Lachey,0.15119724784450206,0.12574977154391082,0.18986280157904922,0.018433405032966962
