season,week,n_contestants,rho,p_value
11,2,11,0.8909090909090911,0.0002334581703787316
11,3,10,0.7500139429824981,0.012475320838889697
11,4,9,0.978945010372561,4.36873680441605e-06
11,5,8,0.7784570702436183,0.02286733396973682
11,6,7,0.3086066999241838,0.5006803901900949
11,7,6,0.6982532518267538,0.12283946337339596
11,8,5,0.9999999999999999,1.4042654220543672e-24
12,1,11,0.9406490758530797,1.6237414404570088e-05
12,2,11,0.9066082746806284,0.00011876621411541871
12,3,10,0.7575757575757575,0.011143446799694208
12,4,9,0.8451956828432803,0.004116597419302819
12,5,8,0.8916309815169778,0.002928680906134816
12,6,7,0.9549937104572924,0.0008055353363017622
12,7,6,0.7714285714285715,0.07239650145772594
12,8,4,0.19999999999999998,0.8
12,9,4,0.7745966692414834,0.22540333075851657
13,1,12,0.9176896735232337,2.5881693919114544e-05
13,2,11,0.9020524542048464,0.0001461633672889761
13,3,10,0.9300954818304988,9.596084056886829e-05
13,4,9,0.903773601456181,0.0008274112226859528
13,5,8,0.8862434338158116,0.003373342932352387
13,6,7,0.6306562238868914,0.12888769568495784
13,7,6,0.8827348295047495,0.01982041658888203
13,8,5,0.6668859288553503,0.21889398131323154
13,9,4,0.7745966692414834,0.22540333075851657
14,1,12,0.6865159389715795,0.013673552241289133
14,2,12,0.9001765118147749,6.58802100058725e-05
14,3,11,0.9545454545454546,4.988898739949763e-06
14,4,10,0.9268464986450383,0.0001146238137700556
14,5,9,0.9205101496312954,0.00043110022419816526
14,6,8,0.8333333333333335,0.01017554012345675
14,7,7,1.0,0.0
14,8,6,0.8857142857142858,0.01884548104956266
14,9,4,,
15,1,13,0.8907543575401422,4.4257721688469103e-05
15,2,11,0.8321028211075269,0.0014869742882369467
15,3,11,0.8428267880196796,0.0011230729173028994
15,4,9,0.7999999999999999,0.00962792472537983
15,5,8,0.6024533658898499,0.11396448084515579
15,6,8,0.686796837114429,0.05989745556707226
15,7,7,0.8468812149338255,0.016197127467871632
15,8,7,0.9636241116594317,0.0004753043398840433
15,9,5,0.8720815992723809,0.05385421772754211
16,1,12,0.7972027972027973,0.0019003677255282707
16,2,12,0.8807071758072424,0.00015522453975657012
16,3,11,0.7899625734105961,0.0038173876554122937
16,4,10,0.686933264358473,0.028205560771255266
16,5,9,0.8655767810204985,0.0025646674074945057
16,6,8,0.8539125638299666,0.00696528831948064
16,7,7,0.909241209316635,0.004536556036432553
16,8,6,0.9411239481143202,0.0050975405648614755
16,9,5,0.6668859288553503,0.21889398131323154
16,10,4,0.9486832980505139,0.05131670194948612
17,1,12,0.886165982448008,0.0001239888771426087
