season,week,n_contestants_rank,rho_rank,p_value_rank,n_contestants_share,rho_share,p_value_share,diff
11,6,7,0.3086066999241838,0.5006803901900949,7,0.642857142857143,0.11939237342741094,0.3342504429329592
11,7,6,0.6982532518267538,0.12283946337339596,6,0.7142857142857143,0.1107871720116617,0.016032462458960506
11,8,5,0.9999999999999999,1.4042654220543672e-24,5,0.6,0.28475697986529375,-0.3999999999999999
12,1,11,0.9406490758530797,1.6237414404570088e-05,11,0.9363636363636365,2.208207644917754e-05,-0.004285439489443155
12,2,11,0.9066082746806284,0.00011876621411541871,11,0.8909090909090911,0.0002334581703787316,-0.01569918377153734
12,3,10,0.7575757575757575,0.011143446799694208,10,0.6848484848484848,0.02888279750673276,-0.07272727272727264
12,4,9,0.8451956828432803,0.004116597419302819,9,0.8166666666666667,0.007224785246358785,-0.02852901617661363
12,5,8,0.8916309815169778,0.002928680906134816,8,0.8095238095238096,0.014902667686230067,-0.0821071719931682
12,6,7,0.9549937104572924,0.0008055353363017622,7,0.7857142857142859,0.03623846267982713,-0.1692794247430065
12,7,6,0.7714285714285715,0.07239650145772594,6,0.7714285714285715,0.07239650145772594,0.0
12,8,4,0.19999999999999998,0.8,4,0.39999999999999997,0.6,0.19999999999999998
12,9,4,0.7745966692414834,0.22540333075851657,4,0.39999999999999997,0.6,-0.37459666924148344
13,1,12,0.9176896735232337,2.5881693919114544e-05,12,0.6293706293706295,0.02831967129576002,-0.28831904415260423
13,2,11,0.9020524542048464,0.0001461633672889761,11,0.8090909090909091,0.002558580199713915,-0.09296154511393728
13,3,10,0.9300954818304988,9.596084056886829e-05,10,0.8787878787878788,0.0008138621117322101,-0.051307603042620054
13,4,9,0.903773601456181,0.0008274112226859528,9,0.9333333333333332,0.00023589981215941676,0.029559731877152218
13,5,8,0.8862434338158116,0.003373342932352387,8,0.9761904761904763,3.3143960262001043e-05,0.08994704237466467
13,6,7,0.6306562238868914,0.12888769568495784,7,0.7857142857142859,0.03623846267982713,0.15505806182739457
13,7,6,0.8827348295047495,0.01982041658888203,6,0.7714285714285715,0.07239650145772594,-0.111306258076178
13,8,5,0.6668859288553503,0.21889398131323154,5,0.9999999999999999,1.4042654220543672e-24,0.33311407114464964
13,9,4,0.7745966692414834,0.22540333075851657,4,0.39999999999999997,0.6,-0.37459666924148344
14,1,12,0.6865159389715795,0.013673552241289133,12,0.6713286713286714,0.016831456186893395,-0.01518726764290812
14,2,12,0.9001765118147749,6.58802100058725e-05,12,0.8391608391608393,0.0006428259886278202,-0.06101567265393559
14,3,11,0.9545454545454546,4.988898739949763e-06,11,0.9727272727272729,5.14217704904919e-07,0.0181818181818183
14,4,10,0.9268464986450383,0.0001146238137700556,10,0.9393939393939393,5.484052998513666e-05,0.012547440748901018
14,5,9,0.9205101496312954,0.00043110022419816526,9,0.9,0.0009430623223403293,-0.020510149631295382
14,6,8,0.8333333333333335,0.01017554012345675,8,0.7857142857142858,0.020815127253525276,-0.04761904761904767
14,7,7,1.0,0.0,7,0.9285714285714288,0.0025194724037946874,-0.07142857142857117
14,8,6,0.8857142857142858,0.01884548104956266,6,0.8857142857142858,0.01884548104956266,0.0
14,9,4,,,4,0.7999999999999999,0.20000000000000007,
15,1,13,0.8907543575401422,4.4257721688469103e-05,13,0.945054945054945,1.1239312789557584e-06,0.05430058751480282
15,2,11,0.8321028211075269,0.0014869742882369467,11,0.9090909090909091,0.00010559337630360869,0.07698808798338219
15,3,11,0.8428267880196796,0.0011230729173028994,11,0.8363636363636365,0.0013331850799508562,-0.0064631516560430535
