season,week,celebrity_name,vote_mean,judge_percentage,total_percentage,actual_elim_week,was_eliminated_this_week,results,rank,lowest_in_week,prediction_correct,eliminated_this_week,eliminated_rank,total_contestants
2,5,Tia Carrere,0.1661776271675931,0.1456953642384106,0.31187299140600366,5,True,Eliminated Week 5,1,True,True,Tia Carrere,1.0,6
2,5,Stacy Keibler,0.1601808329213983,0.1986754966887417,0.35885632961014,-1,False,3rd Place,6,False,True,Tia Carrere,1.0,6
2,5,Drew Lachey,0.151197247844502,0.1788079470198675,0.3300051948643695,-1,False,1st Place,3,False,True,Tia Carrere,1.0,6
2,6,George Hamilton,0.2129460296801364,0.1729323308270676,0.38587836050720403,6,True,Eliminated Week 6,2,False,False,George Hamilton,2.0,5
2,6,Lisa Rinna,0.2090388627119066,0.2030075187969924,0.412046381508899,7,False,Eliminated Week 7,4,False,False,George Hamilton,2.0,5
2,6,Jerry Rice,0.2037400033081835,0.1729323308270676,0.37667233413525114,-1,False,2nd Place,1,True,False,George Hamilton,2.0,5
2,6,Stacy Keibler,0.1887063015882234,0.225563909774436,0.4142702113626594,-1,False,3rd Place,5,False,False,George Hamilton,2.0,5
2,6,Drew Lachey,0.18556880271155,0.225563909774436,0.411132712485986,-1,False,1st Place,3,False,False,George Hamilton,2.0,5
2,7,Drew Lachey,0.2649231770832746,0.2696078431372549,0.5345310202205296,-1,False,1st Place,4,False,False,Lisa Rinna,2.0,4
2,7,Lisa Rinna,0.2523235880721193,0.2598039215686274,0.5121275096407467,7,True,Eliminated Week 7,2,False,False,Lisa Rinna,2.0,4
2,7,Stacy Keibler,0.2463698173105273,0.2696078431372549,0.5159776604477821,-1,False,3rd Place,3,False,False,Lisa Rinna,2.0,4
2,7,Jerry Rice,0.2363834175340786,0.2009803921568627,0.4373638096909413,-1,False,2nd Place,1,True,False,Lisa Rinna,2.0,4
2,8,Stacy Keibler,0.3478728528928028,0.339920718960216,0.6877935718530188,-1,False,3rd Place,3,False,False,,,3
2,8,Jerry Rice,0.3288469537013488,0.3162063678588072,0.6450533215601559,-1,False,2nd Place,1,True,False,,,3
2,8,Drew Lachey,0.3232801934058483,0.3438729131809768,0.667153106586825,-1,False,1st Place,2,False,False,,,3
28,1,James Van Der Beek,0.0888114416537996,0.1065989847715736,0.1954104264253732,10,False,Eliminated Week 10,12,False,False,,,12
28,1,Sean Spicer,0.0870644595023542,0.0609137055837563,0.1479781650861105,9,False,Eliminated Week 9,2,False,False,,,12
28,1,Hannah Brown,0.0869078006053435,0.1015228426395939,0.1884306432449374,-1,False,1st Place,11,False,False,,,12
28,1,Ally Brooke,0.0868870509142066,0.0812182741116751,0.1681053250258817,-1,False,3rd Place,6,False,False,,,12
28,1,Karamo Brown,0.0850556619889354,0.0862944162436548,0.17135007823259019,7,False,Eliminated Week 7,8,False,False,,,12
28,1,Kel Mitchell,0.0845755653305564,0.0812182741116751,0.1657938394422315,-1,False,2nd Place,5,False,False,,,12
28,1,Sailor Brinkley-Cook,0.0828727385403795,0.0913705583756345,0.174243296916014,6,False,Eliminated Week 6,10,False,False,,,12
28,1,Mary Wilson,0.0820169720806375,0.0862944162436548,0.16831138832429232,2,False,Eliminated Week 2,7,False,False,,,12
28,1,Kate Flannery,0.0813717778474351,0.0761421319796954,0.15751390982713048,8,False,Eliminated Week 8,4,False,False,,,12
28,1,Lamar Odom,0.0807751685030848,0.0558375634517766,0.1366127319548614,4,False,Eliminated Week 4,1,True,False,,,12
28,1,Ray Lewis,0.0778685471127354,0.0761421319796954,0.1540106790924308,-1,False,Withdrew,3,False,False,,,12
28,1,Lauren Alaina,0.0757928159205315,0.0964467005076142,0.1722395164281457,-1,False,4th Place,9,False,False,,,12
28,2,Sean Spicer,0.0885283691030099,0.0730593607305936,0.1615877298336035,9,False,Eliminated Week 9,4,False,False,Mary Wilson,3.0,12
28,2,Karamo Brown,0.0866541093220913,0.0867579908675799,0.1734121001896712,7,False,Eliminated Week 7,8,False,False,Mary Wilson,3.0,12
28,2,Kel Mitchell,0.0860887842885019,0.091324200913242,0.17741298520174392,-1,False,2nd Place,11,False,False,Mary Wilson,3.0,12
28,2,Sailor Brinkley-Cook,0.0860729110299449,0.0821917808219178,0.1682646918518627,6,False,Eliminated Week 6,5,False,False,Mary Wilson,3.0,12
