contestant_id,season_idx,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,estimated_strength,week_score_sum,mapped_season,season_position,votes,week_total_votes,vote_percentage
64,5,10,3,112,week10_percentage,0.243589744,9,493,59.91821515,38.0,31,6,0.005722040992001205,0.013777203357616667,0.41532674255242086
69,5,10,1,18,week10_percentage,0.256410256,9,494,80.13312288,40.0,31,11,0.002815202870539496,0.013777203357616667,0.20433775980980373
72,5,10,4,98,week10_percentage,0.243589744,9,495,32.15514806,38.0,31,14,0.003070736917689846,0.013777203357616667,0.22288535909518983
73,5,10,2,33,week10_percentage,0.256410256,9,496,61.74566713,40.0,31,15,0.0021692225773861195,0.013777203357616667,0.15745013854258558
74,6,2,13,43,week1_percentage,0.064935065,0,497,16.06061672,15.0,32,0,6.063845281666851,95.77496177311309,0.06331347117665105
75,6,5,10,83,week1_percentage,0.073593074,0,498,14.78392805,17.0,32,1,4.23108469870544,95.77496177311309,0.044177357217105494
76,6,8,7,11,week1_percentage,0.069264069,0,499,18.59527967,16.0,32,2,6.139127697949504,95.77496177311309,0.06409950559409089
77,6,11,5,4,week1_percentage,0.056277056,0,500,25.93905474,13.0,32,3,12.480257677673542,95.77496177311309,0.13030814574730665
78,6,11,1,114,week1_percentage,0.077922078,0,501,42.9350733,18.0,32,4,10.56019397923195,95.77496177311309,0.11026048754003799
79,6,4,11,1,week1_percentage,0.077922078,0,502,18.0168834,18.0,32,5,4.431383691272377,95.77496177311309,0.046268707491318464
80,6,1,14,78,week1_percentage,0.051948052,0,503,7.399354834,12.0,32,6,3.9670239856753433,95.77496177311309,0.04142026174933965
81,6,3,12,109,week1_percentage,0.051948052,0,504,10.72762205,12.0,32,7,5.751411431988869,95.77496177311309,0.06005130490799593
82,6,11,2,45,week1_percentage,0.090909091,0,505,43.78995885,21.0,32,8,6.490331643479396,95.77496177311309,0.06776647594863805
83,6,7,8,72,week1_percentage,0.082251082,0,506,25.22236606,19.0,32,9,5.2854649187820995,95.77496177311309,0.05518629108203819
84,6,9,6,37,week1_percentage,0.051948052,0,507,28.20379887,12.0,32,10,15.120932718396126,95.77496177311309,0.15787980948733749
85,6,6,9,79,week1_percentage,0.064935065,0,508,17.37263067,15.0,32,11,6.559209173283873,95.77496177311309,0.06848563603525488
86,6,11,4,16,week1_percentage,0.095238095,0,509,30.80566674,22.0,32,12,3.7903583577530715,95.77496177311309,0.03957567079726195
87,6,11,3,9,week1_percentage,0.090909091,0,510,33.08932518,21.0,32,13,4.904336517254653,95.77496177311309,0.0512068752256234
74,6,2,13,43,week2_percentage,0.067226891,1,511,7.669857219,16.0,32,0,2.616055747804994,66.50677213152858,0.03933517841809093
75,6,5,10,83,week2_percentage,0.075630252,1,512,13.79825773,18.0,32,1,3.5367131132571368,66.50677213152858,0.053178240349158405
76,6,8,7,11,week2_percentage,0.06302521,1,513,16.06807779,15.0,32,2,6.242972354216693,66.50677213152858,0.09386972415185242
77,6,11,5,4,week2_percentage,0.079831933,1,514,27.92485437,19.0,32,3,6.1270316715120785,66.50677213152858,0.09212643276980606
78,6,11,1,114,week2_percentage,0.100840336,1,515,43.65397294,24.0,32,4,3.881129549381186,66.50677213152858,0.05835690749966913
79,6,4,11,1,week2_percentage,0.06302521,1,516,14.8111024,15.0,32,5,5.754596413282146,66.50677213152858,0.08652647285153821
81,6,3,12,109,week2_percentage,0.075630252,1,517,11.33676428,18.0,32,7,2.9057931570452777,66.50677213152858,0.04369168828850349
82,6,11,2,45,week2_percentage,0.100840336,1,518,41.45600227,24.0,32,8,3.6857152871390064,66.50677213152858,0.05541864638761705
83,6,7,8,72,week2_percentage,0.088235294,1,519,23.55973629,21.0,32,9,3.6935867007966685,66.50677213152858,0.055537001457414976
